Ano,Valor de Venda,M̩dia
2004,1.51634626221326,2.9272
2005,1.7410769546757998,2.440975
2006,1.8826852635269855,2.17465
2007,1.8754017037499096,1.946958333
2008,2.035831822607478,1.83495
2009,2.0682475756667666,1.995691667
2010,2.004082124028912,1.756758333
2011,2.0283536561382443,1.672666667
2012,2.0840506991489196,1.952775
2013,2.314865368289193,2.152841667
2014,2.51344914668733,2.360475
2015,2.810428022758331,3.319591667
2016,3.018504002905462,3.488258333
2017,3.099897401583584,3.191033333
2018,3.502647719012948,3.615183333
2019,3.599621263011284,3.923316667
2020,3.41782743908046,5.057366667
2021,4.69418303850748,5.319675
2022,6.631453867697142,5.233416667
2023,5.718585069617851,5.031054545
