Ano,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Média
2004,"2,8126","2,9085","2,9013","2,9064","3,0982","3,138","3,0215","3,0235","2,9042","2,8623","2,7991","2,7508","2,9272"
2005,"2,7074","2,5762","2,7621","2,5971","2,4715","2,4455","2,3427","2,3422","2,3012","2,2511","2,199","2,2957","2,440975"
2006,"2,2747","2,1375","2,1215","2,1426","2,1774","2,2845","2,213","2,148","2,154","2,1419","2,1537","2,147","2,17465"
2007,"2,1407","2,0896","2,0909","2,0231","1,9922","1,9097","1,8684","2,0043","1,9031","1,8078","1,7378","1,7959","1,946958333"
2008,"1,745","1,7541","1,6947","1,6822","1,6601","1,6368","1,591","1,6389","1,8125","2,1551","2,28","2,369","1,83495"
2009,"2,3803","2,268","2,3012","2,1992","2,0762","1,9458","1,942","1,8385","1,8087","1,7037","1,729","1,7557","1,995691667"
2010,"1,7711","1,867","1,7644","1,7483","1,7967","1,7971","1,769","1,7716","1,7169","1,6604","1,7198","1,6988","1,756758333"
2011,"1,6843","1,6682","1,6692","1,5776","1,6328","1,596","1,5743","1,5956","1,7106","1,7376","1,7649","1,8609","1,672666667"
2012,"1,7853","1,7158","1,8006","1,8364","1,9947","2,0443","2,0338","2,0234","2,0139","2,0382","2,0629","2,084","1,952775"
2013,"2,0374","1,96","1,9749","1,979","2,0233","2,1367","2,2548","2,3434","2,2785","2,1818","2,3289","2,3354","2,152841667"
2014,"2,347","2,3924","2,3638","2,2257","2,2166","2,2347","2,2195","2,269","2,3401","2,4316","2,6136","2,6717","2,360475"
2015,"2,6122","2,8392","3,2264","3,0681","2,9894","3,1036","3,1532","3,4761","3,8599","3,8344","3,8023","3,8703","3,319591667"
2016,"3,8711","3,9885","3,7116","3,5276","3,5041","3,4768","3,2656","3,1672","3,3326","3,1864","3,4446","3,383","3,488258333"
2017,"3,383","3,2034","3,0779","3,1629","3,1269","3,1011","3,2836","3,1899","3,1976","3,1255","3,1572","3,2834","3,191033333"
2018,"3,3182","3,1963","3,2208","3,2859","3,4105","3,6753","3,7738","3,8745","3,9134","4,1879","3,7332","3,7924","3,615183333"
2019,"3,909","3,7049","3,7155","3,8344","3,873","4,0031","3,8813","3,7463","4,0188","4,0616","4,1488","4,1831","3,923316667"
2020,"4,0949","4,1622","4,3163","4,7362","5,2579","5,8229","5,1883","5,3491","5,3852","5,2728","5,6172","5,4854","5,057366667"
2021,"5,0968","5,2714","5,3815","5,6296","5,6234","5,2701","5,0874","5,1","5,2474","5,2576","5,451","5,4199","5,319675"
2022,"5,7127","5,5349","5,1881","5,1314","4,7158","5,1075","5,1119","5,4014","5,0925","5,2211","5,2824","5,3013","5,233416667"
2023,"5,3183","5,1146","5,2243","5,2981","4,9455","4,9103","4,8222","4,7957","4,9812","4,8689","5,0625",,"5,031054545"